Reporter_code,Reporter_description,Partner_code,Partner_description,Indicator_code,Indicator_description,Flow_Code,Flow_Description,Year,Unit,Value,Flag,Source_Description,Note
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2010,Value index - Previous year = 100,121.065,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2010,Value index - Previous year = 100,122.668,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2010,Volume index - Previous year = 100,115.41,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2010,Volume index - Previous year = 100,114.75,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2010,Unit value index - Prev. year = 100,104.9,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2010,Unit value index - Prev. year = 100,106.9,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2011,Unit value index - Prev. year = 100,110.9,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2011,Unit value index - Prev. year = 100,108.1,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2011,Volume index - Previous year = 100,103.764,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2011,Volume index - Previous year = 100,107.268,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2011,Value index - Previous year = 100,115.074,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2011,Value index - Previous year = 100,115.957,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2012,Value index - Previous year = 100,104.263,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2012,Value index - Previous year = 100,103.111,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2012,Volume index - Previous year = 100,103.848,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2012,Volume index - Previous year = 100,102.803,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2012,Unit value index - Prev. year = 100,100.4,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2012,Unit value index - Prev. year = 100,100.3,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2013,Unit value index - Prev. year = 100,98.9,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2013,Unit value index - Prev. year = 100,99.6,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2013,Volume index - Previous year = 100,100.79,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2013,Volume index - Previous year = 100,102.603,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2013,Value index - Previous year = 100,99.681,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2013,Value index - Previous year = 100,102.193,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2014,Value index - Previous year = 100,102.592,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2014,Value index - Previous year = 100,103.585,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2014,Volume index - Previous year = 100,103.116,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2014,Volume index - Previous year = 100,104.711,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2014,Unit value index - Prev. year = 100,99.492,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2014,Unit value index - Prev. year = 100,98.924,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2015,Unit value index - Prev. year = 100,89.828,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2015,Unit value index - Prev. year = 100,93.688,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2015,Volume index - Previous year = 100,106.837,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2015,Volume index - Previous year = 100,98.968,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2015,Value index - Previous year = 100,95.969,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2015,Value index - Previous year = 100,92.721,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2016,Value index - Previous year = 100,96.568,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2016,Value index - Previous year = 100,97.186,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2016,Volume index - Previous year = 100,99.782,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2016,Volume index - Previous year = 100,100.526,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,X ,Exports,2016,Unit value index - Prev. year = 100,96.779,   ,WTO, 
US,United States of America,WL,World,TO      ,Total merchandise,M ,Imports,2016,Unit value index - Prev. year = 100,96.678,   ,WTO, 
US ,United States of America,WL ,World,TO      ,Total merchandise,M ,Imports,2017,Unit value index - Prev. year = 100,102.901,   ,WTO, 
US ,United States of America,WL ,World,TO      ,Total merchandise,X ,Exports,2017,Unit value index - Prev. year = 100,102.404,   ,WTO, 
US ,United States of America,WL ,World,TO      ,Total merchandise,M ,Imports,2017,Volume index - Previous year = 100,104.063,   ,WTO, 
US ,United States of America,WL ,World,TO      ,Total merchandise,X ,Exports,2017,Volume index - Previous year = 100,104.094,   ,WTO, 
